"Id do Aeródromo","CIAD","Código OACI","Id to Tipo de Uso","Tipo de Uso","Nome","Município","UF","País","Município Servido","UF Servido","Latitude","Longitude","Altitude","Operação Diurna","Operação Noturna","Id da Pista 1","Designação (Pista 1)","Comprimento (Pista 1)","Largura (Pista 1)","Resistência (Pista 1)","Superfície (Pista 1)","Aeronave Crítica (Pista 1)","Tipo Operação por Cabeceira (Pista 1)","Luzes de Eixo de Pista (Pista 1)","Luzes de Borda de Pista (Pista 1)","Id da Pista 2","Designação (Pista 2)","Comprimento (Pista 2)","Largura (Pista 2)","Resistência (Pista 2)","Superfície (Pista 2)","Aeronave Crítica (Pista 2)","Tipo Operação por Cabeceira (Pista 2)","Luzes de Eixo de Pista (Pista 2)","Luzes de Borda de Pista (Pista 2)","Tipo de Cadastro","Situação","Classe RBAC 153","Perfil Operacional RBAC 153","Classe RBAC 107","Tipo de Operação Internacional (nomenclatura OACI)","Tipo de Operação Internacional (conforme AIP BRASIL)","Certificação Operacional","Portaria de Certificação","Validade do Cadastro","Portaria de Cadastro","Restrição","Referência Cautelar","Amazônia Legal"
1791,"PR0053","SIYM",1,"Privado","Fazenda Montesion","TOLEDO","PR","Brasil","","","24°52'53,8""S","053°45'17,1""W","582 m","VFR","Sem Operação",2708,"01/19","750 m","20 m","5000 Kg /   0,50 MPa","Grama","","01 - ; 19 - ",0,0,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","25/01/2023","https://pergamum.anac.gov.br/arquivos/PA2016-1285.pdf"," ","","não"
1803,"RS0161","",1,"Privado","CMPC Fazenda da Bota","ENCRUZILHADA DO SUL","RS","Brasil","","","30°28'01,0""S","052°28'10,0""W","310 m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","13/12/2031","https://pergamum.anac.gov.br/arquivos/PA2021-6563.pdf"," ","","não"
1863,"PE0060","",1,"Privado","Policia Rodoviária Federal - Recife","RECIFE","PE","Brasil","","","08°03'57,2""S","034°56'44,3""W"," m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Autorizado",,"","","","","não","","",""," ","","não"
1899,"BA0320","",1,"Privado","Conjunto Pituba","SALVADOR","BA","Brasil","","","12°59'52,0""S","038°28'03,0""W","116 m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Autorizado",,"","","","","não","","",""," ","","não"
2103,"DF0016","SNCN",1,"Privado","Parque Cidade ","BRASÍLIA","DF","Brasil","","","15°47'44,0""S","047°53'37,0""W","1175 m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","05/11/2031","https://pergamum.anac.gov.br/arquivos/PA2021-6260.pdf"," ","","não"
2163,"RJ0108","SJMB",1,"Privado","Fazenda Mombaça","ANGRA DOS REIS","RJ","Brasil","","","23°00'59,0""S","044°17'20,0""W","39 m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","17/06/2031","https://pergamum.anac.gov.br/arquivos/PA2021-5169.pdf"," ","","não"
800,"GO0087","SJUC",1,"Privado","Fazenda Santa Cruz","PADRE BERNARDO","GO","Brasil","","","15°22'19,0""S","048°12'23,0""W","761 m","VFR","Sem Operação",3249,"05/23","830 m","16 m","5700 Kg /   0,50 MPa","Asfalto","","05 - ; 23 - ",0,0,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","17/10/2026","https://pergamum.anac.gov.br/arquivos/PA2016-2565.pdf"," ","","não"
237,"SC0011","SSVI",2,"Público","Ângelo Ponzoni","VIDEIRA","SC","Brasil","Videira","SC","26°59'59,0""S","051°08'29,0""W","843 m","VFR","Sem Operação",852,"10/28","1400 m","23 m","11/F/A/Y/T","Asfalto","","10 - Visual; 28 - Visual",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",1,"Outras Operações","AP-0","","","não","","08/01/2029","https://pergamum.anac.gov.br/arquivos/PA2018-3718.pdf"," ","","não"
1360,"PE0090","",1,"Privado","Pedra do Rodeadouro","BONITO","PE","Brasil","","","08°31'31,5""S","035°44'25,1""W"," m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Autorizado",,"","","","","não","","",""," ","","não"
1372,"RO0059","",1,"Privado","Irmãos Gonçalves","JARU","RO","Brasil","","","10°25'24,0""S","062°31'02,0""W"," m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Autorizado",,"","","","","não","","",""," ","","sim"
